slug,name,area,beach,business_status,opened_year,price_display,price_basis,price_kind,price_note,price_level,signature_dish,signature_dish_eur,espeto_eur,official_site,menu_url,menu_is_pdf,address,phone,google_place_id,google_maps_url,verified,url,currency,source_page,attribution,license
la-ola,La Ola,Marbella centro,Playa de la Fontanilla,operating,,€8.90,menu,espeto,,€€,Espeto de sardinas (Málaga-style spit-roasted sardines),8.9,8.9,https://laolamarbella.es/,https://laolamarbella.es/menu/,false,"3-4, P.º Marítimo, 29602 Marbella, Málaga, Spain",952 85 74 48,ChIJVVUlaAAocw0RcTyG-c_oh4U,https://maps.google.com/?cid=9621915108842552433&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/la-ola/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
dune-beach-marbella,Dune Beach Marbella,Marbella municipality,,operating,,,,,,€€€€,,,,https://dunebeachmarbella.com,https://dunebeachmarbella.com/wp-content/uploads/2026/03/RESTAURANT-MENU_DUNE-BEACH-1.pdf,true,"Av. Cervantes, S/N, 29604 Marbella, Málaga, Spain",951 61 52 13,ChIJMYZ7ULsncw0RkHIajrF3SBw,https://maps.google.com/?cid=2038010435862164112&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/dune-beach-marbella/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
chiringuito-los-tony-s,Chiringuito Los Tony's (Tonys Beach Restaurant),Elviria,,operating,,,,,,€€€,,,,https://chiringuitolostonys.com,https://chiringuitolostonys.com/carta-playa/,false,"Av. del Naviero, s/n, 29604 Marbella, Málaga, Spain",952 11 31 42,ChIJ426PevQgcw0RNrxhk4pRW4A,https://maps.google.com/?cid=9249075915355438134&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/chiringuito-los-tony-s/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
la-red,La Red,Marbella centro,Playa de la Fontanilla,operating,,€8.90,menu,espeto,"Espeto de sardinas €8.90, read off La Red's own carta, replacing the €20–30 per-head figure Google Business used to supply. The same menu prices grilled king prawn at €16.90, grilled rosada at €19.90 and Argentinian bife de chorizo at €24.90.",€€,Paella Mixta (for 2),31.9,8.9,https://www.laredmarbella.com/es,https://www.laredmarbella.com/es/_files/ugd/4ad273_049407114f3f41a3b2eecc1aa64e5b2e.pdf,true,"P.º Marítimo, 6, 29602 Marbella, Málaga, Spain",952 82 14 50,ChIJQ1zyrwEocw0R1uCH7igBAC0,https://maps.google.com/?cid=3242593007018959062&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/la-red/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
the-beach-house-restaurant-marbella,The Beach House Restaurant Marbella,Marbella Centro / Urbaniza,,operating,,,,,,,,,,https://www.beachhousemarbella.com,https://www.beachhousemarbella.com/a-la-carte,false,"Urbanización Coto de los Dolores, C. Carril del Relojero, s/n, 29604 Marbella, Málaga, Spain",952 83 94 58,ChIJcdEfYZIgcw0RQSLBQWTegWU,https://maps.google.com/?cid=7314371792007668289&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/the-beach-house-restaurant-marbella/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
nosso-summer-club-marbella,NOSSO Summer Club Marbella,Las Chapas / El Rosario ar,,operating,,€26–36,menu,mains,,,,,,https://nosso.es,https://nosso.es/wp-content/uploads/2026/05/ABRIL2026_WEB_ENG.pdf,true,"Av. del Limonar, 124, 29604 Marbella, Málaga, Spain",665 66 07 37,ChIJ71QiLUwncw0RaOslfLJxLK0,https://maps.google.com/?cid=12478473678937779048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/nosso-summer-club-marbella/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
los-tres-pepes,Los Tres Pepes,Marbella centro,Playa de la Fontanilla,operating,1952,€9.5,menu,espeto,"26-36 (mains, e.g. sole fillet 28.90, lamb chops 26, sirloin 28, paella for two 36); espeto fish run 23.90/piece up to 52-58/kg for premium species",€€,Espeto de sardinas,9.5,9.5,https://www.restaurantelostrespepe.es/,https://www.restaurantelostrespepe.es/menu,false,"CAlle Arcos 1 Playa de la Fontanilla, 29602 Marbella, Málaga, Spain",952 77 89 30,ChIJge0SHwAocw0Rc6Se3ZNv-4U,https://maps.google.com/?cid=9654432907067827315&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/los-tres-pepes/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
trocadero-petit-playa,Trocadero Petit Playa,Fontanilla Beach / Paseo M,,operating,,,,,,€€€,,,,https://grupotrocadero.com/trocadero-petit-playa/,https://grupotrocadero.com/wp-content/uploads/2025/06/CARTA-COMIDADEFINITIVA-PETIT-2025-BLUE.pdf,true,"Playa Santa Petronila, Paseo Maritimo de Marbella, 29602 Marbella, Málaga, Spain",667 01 06 38,ChIJkTCwxSEocw0Rpe5UAimfFKA,https://maps.google.com/?cid=11535019544084278949&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/trocadero-petit-playa/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
bel-mare-ristorante-san-pedro,Bel Mare Ristorante - San Pedro,San Pedro de Alcántara,,operating,,€16–32,menu,mains,,€€,,,,https://belmare.es/,https://belmare.es/#menu,false,"Edif. Los Pinos, C. Rafael Alberti, Local 22, 29670 San Pedro Alcántara, Málaga, Spain",623 31 42 17,ChIJTzS4fIkpcw0RA9vu7tcvRc8,https://maps.google.com/?cid=14935396343717223171&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/bel-mare-ristorante-san-pedro/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
chambao,Chambao,Golden Mile,,operating,,€27–46,menu,mains,,,,,15,https://www.puenteromano.com/dining-drinks/chambao/,https://www.puenteromano.com/media/xl0ni5do/20250525_mainmenu_chambao.pdf,true,"Urbanización Coral Beach, N-340, km 176, 29602 Marbella, Málaga, Spain",682 11 22 33,ChIJweYOPAApcw0R7h-wgy6oCJI,https://maps.google.com/?cid=10522845447082483694&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-08-17,https://marbellawire.com/prices/chiringuitos/chambao/,EUR,https://marbellawire.com/prices/chiringuitos/,"Marbella Wire, https://marbellawire.com/prices/chiringuitos/",https://creativecommons.org/licenses/by/4.0/
